shop_type,query,query_score,raw_results,relevant_results,unique_hosts,duplicate_products,estimated_results,next_page_available,market_signal,seasonality,query_generation_reason,source_urls,status,rejection_reason
eyewear,site:myshopify.com/products polarized sunglasses,70,10,10,5,5,5840,true,"Evergreen core category with strong demand tied to UV protection, outdoor use, and premium lens features.",evergreen,Uses a common purchasable product type plus a high-intent lens attribute.,"[""https://www.grandviewresearch.com/industry-analysis/sunglasses-market""]",rejected,not_selected
eyewear,site:myshopify.com/products photochromic sunglasses,100,10,10,10,0,598,true,Growing lens-technology segment associated with adaptive light use and convenience.,growing,Combines a concrete product with an established adaptive-lens term.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry"",""https://www.fortunebusinessinsights.com/sunglasses-market-116210""]",selected,
eyewear,site:myshopify.com/products blue light glasses,100,10,10,10,0,64000,true,Established online product category for screen-use shoppers.,evergreen,Directly matches frequent Shopify product-title vocabulary.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",selected,
eyewear,site:myshopify.com/products reading glasses,74,10,9,7,3,4260,true,Large evergreen need-based category with repeat and replacement purchasing.,evergreen,"Broad, highly purchasable product phrase.","[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report""]",rejected,not_selected
eyewear,site:myshopify.com/products prescription glasses,88.38,10,10,8,2,2770,true,Foundational eyewear category spanning online optical and direct-to-consumer shops.,evergreen,Uses the dominant functional product term without adding abstract intent.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",selected,
eyewear,site:myshopify.com/products clip on sunglasses,98.5,10,10,10,0,10400,true,Practical add-on category for prescription-wearers seeking sun protection.,evergreen,Concrete format term likely to appear in product titles.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",selected,
eyewear,site:myshopify.com/products sport sunglasses,88.38,10,10,8,2,21600,true,Outdoor and performance eyewear remains a durable product segment.,mixed,Clear use-case product phrase with broad global applicability.,"[""https://www.grandviewresearch.com/industry-analysis/sunglasses-market""]",selected,
eyewear,site:myshopify.com/products driving glasses,90.13,10,9,8,2,3770,true,"Need-based specialty eyewear for glare, contrast, and road-use shoppers.",evergreen,Specific purchasable use-case phrase rather than an informational query.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",selected,
eyewear,site:myshopify.com/products computer glasses,73,10,10,6,4,22600,true,Evergreen screen-use category overlapping with blue-light lens demand.,evergreen,Common retail synonym that captures distinct product listings.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-industry""]",rejected,not_selected
eyewear,site:myshopify.com/products rimless glasses,93.67,10,10,9,1,1530,true,Rimless frames are a recognized frame-type segment and minimalist style.,evergreen,Uses established frame construction vocabulary.,"[""https://www.grandviewresearch.com/industry-analysis/eyewear-frames-market-report"",""https://www.grandviewresearch.com/industry-analysis/sunglasses-market""]",selected,
