search_query,google_rank,google_result_url,myshopify_domain,final_url,canonical_url,resolved_domain,store_name,email,email_source_url,phone,phone_source_url,contact_url,social_profiles,additional_information,shopify_confidence,relevance_score,lead_score,status,rejection_reason,error
site:myshopify.com/products palazzo pants,3,https://toadandco.myshopify.com/products/chaka-wide-leg-pant-copper-print,,,,,,,,,,,[],,,,,failed,resolution_failed,HTTP 404
site:myshopify.com/products barrel jeans,1,https://everyday-chic-boutique.myshopify.com/products/eyelet-floral-detail-barrel-jeans-light-denim?utm_source=shopthelook&utm_medium=organic,everyday-chic-boutique.myshopify.com,https://www.everydaychicboutique.com/products/eyelet-floral-detail-barrel-jeans-light-denim?utm_source=shopthelook&utm_medium=organic,https://www.everydaychicboutique.com/products/eyelet-floral-detail-barrel-jeans-light-denim,everydaychicboutique.com,"Eyelet Floral Detail Barrel Jeans, Light Denim",support@everydaychicboutique.com,https://www.everydaychicboutique.com/products/eyelet-floral-detail-barrel-jeans-light-denim?utm_source=shopthelook&utm_medium=organic,47732444070108,https://www.everydaychicboutique.com/products/eyelet-floral-detail-barrel-jeans-light-denim?utm_source=shopthelook&utm_medium=organic,https://www.everydaychicboutique.com/pages/contact,"[""http://www.instagram.com/shopeverydaychic"",""https://www.facebook.com/everydaychicboutique/"",""https://youtube.com/@everydaychic"",""https://www.pinterest.com/everydaychicboutique/"",""https://www.tiktok.com/@shopeverydaychic"",""https://www.linkedin.com/in/karli-harris-pennington-2061aa206"",""https://www.facebook.com/groups/1479637932097078/"",""https://www.facebook.com/sharer.php"",""https://pinterest.com/pin/create/button/"",""https://www.instagram.com/keeping.upwith.karli/""]",pages_examined=5; duplicate_results=1,100,100,100,qualified,,
site:myshopify.com/products barrel jeans,2,https://good-american.myshopify.com/products/high-barrel-ankle-indigo1351,good-american.myshopify.com,https://www.goodamerican.com/en-in/products/high-barrel-ankle-indigo1351,https://www.goodamerican.com/products/high-barrel-ankle-indigo1351,goodamerican.com,VINTAGE BARREL ANKLE JEANS | INDIGO1351,press@goodamerican.com,https://www.goodamerican.com/en-in/products/high-barrel-ankle-indigo1351,7681482358867,https://www.goodamerican.com/en-in/products/high-barrel-ankle-indigo1351,,"[""https://www.instagram.com/goodamerican/"",""https://www.tiktok.com/@goodamerican"",""https://www.facebook.com/goodamerican/"",""https://www.pinterest.com/goodamerican/""]",pages_examined=4; page_errors=/en-in/pages/contact-info: Page redirected outside the verified store hostnames,100,80,90,qualified,,
site:myshopify.com/products barrel jeans,3,https://baukjen.myshopify.com/products/wyatt-organic-cotton-stretch-denim-barrel-jeans-terracotta?utm_source=shopthelook&utm_medium=organic,baukjen.myshopify.com,https://www.baukjen.com/products/wyatt-organic-cotton-stretch-denim-barrel-jeans-terracotta?utm_source=shopthelook&utm_medium=organic,https://www.baukjen.com/products/wyatt-organic-cotton-stretch-denim-barrel-jeans-terracotta,baukjen.com,Baukjen,theteam@baukjen.com,https://www.baukjen.com/products/wyatt-organic-cotton-stretch-denim-barrel-jeans-terracotta?utm_source=shopthelook&utm_medium=organic,03448448118,https://www.baukjen.com/products/wyatt-organic-cotton-stretch-denim-barrel-jeans-terracotta?utm_source=shopthelook&utm_medium=organic,https://www.baukjen.com/pages/contact-us,"[""https://www.facebook.com/Baukjen/"",""https://www.instagram.com/baukjen/"",""https://www.youtube.com/user/baukjenTV"",""https://www.tiktok.com/@baukjen"",""https://uk.pinterest.com/baukjen/"",""https://uk.linkedin.com/company/baukjen-group-ltd""]",pages_examined=4,100,100,100,qualified,,
site:myshopify.com/products barrel jeans,4,https://shopdressup.myshopify.com/products/cassidy-medium-wash-high-rise-barrel-jeans?variant=42468615880771,shopdressup.myshopify.com,https://shopdressup.myshopify.com/products/cassidy-medium-wash-high-rise-barrel-jeans?variant=42468615880771,https://shopdressup.com/products/cassidy-medium-wash-high-rise-barrel-jeans,shopdressup.com,Dress Up,sales@shopdressup.com,https://shopdressup.myshopify.com/products/cassidy-medium-wash-high-rise-barrel-jeans?variant=42468615880771,6789892006,https://shopdressup.myshopify.com/products/cassidy-medium-wash-high-rise-barrel-jeans?variant=42468615880771,https://shopdressup.myshopify.com/pages/customer-service,"[""https://facebook.com/shopdressup"",""https://twitter.com/shopdressup"",""https://www.pinterest.com/shopdressup/"",""https://www.instagram.com/shopdressup/"",""https://www.tiktok.com/@shopdressup"",""https://www.facebook.com/sharer.php"",""https://twitter.com/intent/tweet"",""https://pinterest.com/pin/create/button/""]",pages_examined=5; duplicate_results=2,100,100,100,qualified,,
site:myshopify.com/products barrel jeans,5,https://randzshop.myshopify.com/products/blue-stripe-barrel-leg-jeans,randzshop.myshopify.com,https://roandzo.com/products/blue-stripe-barrel-leg-jeans,https://roandzo.com/products/blue-stripe-barrel-leg-jeans,roandzo.com,Blue Stripe Barrel Leg Jeans,,,681012141618,https://roandzo.com/products/blue-stripe-barrel-leg-jeans,https://roandzo.com/pages/new-contact,"[""https://www.instagram.com/ro_and_zo/"",""https://www.facebook.com/roandzowomen""]",pages_examined=5,100,80,82,qualified,,
site:myshopify.com/products barrel jeans,6,https://gigi-the-store.myshopify.com/products/acid-wash-barrel-pants-olive,gigi-the-store.myshopify.com,https://gigi-the-store.myshopify.com/products/acid-wash-barrel-pants-olive,https://gigi-the-store.myshopify.com/products/acid-wash-barrel-pants-olive,gigi-the-store.myshopify.com,Gigi the store,info@gigithestore.com.au,https://gigi-the-store.myshopify.com/pages/contact-us,,,https://gigi-the-store.myshopify.com/pages/contact-us,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/"",""https://facebook.com/gigithestore1"",""https://pinterest.com/gigithestore"",""http://instagram.com/gigithestore"",""https://www.facebook.com/settings/""]",pages_examined=5,100,40,69,qualified,,
site:myshopify.com/products barrel jeans,7,https://love-sweat-and-tees.myshopify.com/products/emmie-barrel-leg-jeans-mid-wash,love-sweat-and-tees.myshopify.com,https://elevenloves.co.uk/products/emmie-barrel-leg-jeans-mid-wash,https://elevenloves.co.uk/products/emmie-barrel-leg-jeans-mid-wash,elevenloves.co.uk,Emmie Barrel Leg Jeans - Mid Wash,hello@elevenloves.co.uk,https://elevenloves.co.uk/pages/contact-us,6810121416186,https://elevenloves.co.uk/products/emmie-barrel-leg-jeans-mid-wash,https://elevenloves.co.uk/pages/contact-us,"[""https://www.facebook.com/elevenloves.co.uk/"",""http://instagram.com/elevenloves.co.uk"",""https://uk.pinterest.com/eleven_loves/""]",pages_examined=4,100,80,94,qualified,,
site:myshopify.com/products barrel jeans,8,https://m34kzg-ke.myshopify.com/products/womens-way-high-curve-jean-calico-ecru,m34kzg-ke.myshopify.com,https://www.everlane.com/products/womens-way-high-curve-jean-calico-ecru,https://www.everlane.com/products/womens-way-high-curve-jean-calico-ecru,everlane.com,Everlane,support@everlane.com,https://www.everlane.com/policies/privacy-policy,30103125,https://www.everlane.com/products/womens-way-high-curve-jean-calico-ecru,,"[""https://www.instagram.com/everlane/"",""https://www.tiktok.com/@everlane"",""https://www.youtube.com/everlane"",""https://www.pinterest.com/everlane/"",""https://twitter.com/en/privacy"",""https://www.facebook.com/privacy/policy"",""https://www.facebook.com/settings"",""https://www.tiktok.com/legal/privacy-policy-us""]",pages_examined=5,100,100,96,qualified,,
site:myshopify.com/products barrel jeans,9,https://threadbaremenswear.myshopify.com/products/threadbare-womens-mid-wash-barrel-leg-jeans-tblb11514,threadbaremenswear.myshopify.com,https://threadbare.com/products/threadbare-womens-mid-wash-barrel-leg-jeans-tblb11514,https://threadbare.com/products/threadbare-womens-mid-wash-barrel-leg-jeans-tblb11514,threadbare.com,Home,customerservice@threadbare.com,https://threadbare.com/pages/privacy-policy,810121416,https://threadbare.com/products/threadbare-womens-mid-wash-barrel-leg-jeans-tblb11514,https://threadbare.com/pages/contact-us,"[""https://www.instagram.com/threadbare.official/"",""https://www.facebook.com/threadbareofficial/"",""https://www.tiktok.com/@threadbare.official""]",pages_examined=5,100,80,94,qualified,,
site:myshopify.com/products barrel jeans,10,https://copper-cloth.myshopify.com/products/pinstriped-pattern-barrel-pants,copper-cloth.myshopify.com,https://copperandcloth.com/products/pinstriped-pattern-barrel-pants,https://copperandcloth.com/products/pinstriped-pattern-barrel-pants,copperandcloth.com,Sterling Stripe Jeans,copperandclothshop@gmail.com,https://copperandcloth.com/products/pinstriped-pattern-barrel-pants,8537378980019,https://copperandcloth.com/products/pinstriped-pattern-barrel-pants,https://copperandcloth.com/pages/contact-us,"[""https://www.facebook.com/CopperandCloth.shop/"",""https://www.instagram.com/copperandcloth.shop/"",""https://www.tiktok.com/@copperandcloth"",""https://facebook.com/sharer.php"",""https://twitter.com/intent/tweet"",""https://pinterest.com/pin/create/button/""]",pages_examined=5,100,100,100,qualified,,
site:myshopify.com/products oversized sweatshirt,1,https://csgo2asia-shop.myshopify.com/products/prx-olive-oversized-sweatshirt,csgo2asia-shop.myshopify.com,https://shop.pprx.team/products/prx-olive-oversized-sweatshirt,https://shop.pprx.team/products/prx-olive-oversized-sweatshirt,shop.pprx.team,Paper Rex Shop,,,,,https://shop.pprx.team/pages/contact-us,"[""https://www.facebook.com/pprxteam"",""https://www.instagram.com/pprxteam/"",""https://www.linkedin.com/company/paper-rex"",""https://www.tiktok.com/@pprxteam"",""https://x.com/pprxteam"",""https://www.youtube.com/@PaperRex""]",pages_examined=5,100,100,81,qualified,,
site:myshopify.com/products oversized sweatshirt,2,https://adanola.myshopify.com/products/varsity-oversized-full-zip-hoodie-sand,adanola.myshopify.com,https://adanola.com/en-int/collections/hoodies-sweaters,https://adanola.com/en-int/collections/hoodies-sweaters,adanola.com,Adanola,,,,,https://adanola.com/en-int/pages/contact,"[""https://www.instagram.com/adanola/"",""https://www.tiktok.com/@adanolaofficial"",""https://www.youtube.com/@adanolaofficial""]",pages_examined=5; duplicate_results=2,100,80,75,qualified,,
site:myshopify.com/products oversized sweatshirt,3,https://wear-peloton.myshopify.com/products/oversized-mockneck-sweatshirt,wear-peloton.myshopify.com,https://apparel.onepeloton.com/products/oversized-mockneck-sweatshirt,https://apparel.onepeloton.com/products/oversized-mockneck-sweatshirt,apparel.onepeloton.com,Oversized Mockneck Sweatshirt,,,,,https://apparel.onepeloton.com/collections/siblings-paceform-enhanced-support-racerback-bra,"[""https://www.facebook.com/PelotonApparel"",""https://www.instagram.com/pelotonapparel/"",""https://www.tiktok.com/@onepeloton"",""https://x.com/onepeloton""]",pages_examined=5; duplicate_results=1,100,80,75,qualified,,
