shop_type,generated_query,query_score,query_generation_reason,search_query,google_rank,google_result_url,myshopify_domain,final_url,canonical_url,resolved_domain,store_name,email,email_source_url,phone,phone_source_url,contact_url,social_profiles,additional_information,shopify_confidence,relevance_score,lead_score,status,rejection_reason,error
eyewear,site:myshopify.com/products smart glasses,97,Direct category term for an emerging purchasable product type.,site:myshopify.com/products smart glasses,6,https://engo-smart-eyewear-eu.myshopify.com/products/engo-2,,,,,,,,,,,[],,,,,failed,resolution_failed,HTTP 402
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,1,https://julbo-eyewear.myshopify.com/products/ultimate,julbo-eyewear.myshopify.com,https://julbo.us/products/ultimate-sunglasses,https://julbo.us/products/ultimate-sunglasses,julbo.us,Julbo Eyewear,info@julbousa.com,https://julbo.us/products/ultimate-sunglasses,123456789296,https://julbo.us/products/ultimate-sunglasses,https://julbo.us/pages/contact,"[""https://www.youtube.com/watch""]",pages_examined=5; duplicate_results=1,100,80,94,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,2,https://glade-optics.myshopify.com/products/photochromic-ski-goggles,glade-optics.myshopify.com,https://www.shopglade.com/collections/goggles/products/adapt-2-0,https://www.shopglade.com/products/adapt-2-0,shopglade.com,Adapt 2,hello@gladeoptics.com,https://www.shopglade.com/pages/privacy-policy,1271562,https://www.shopglade.com/collections/goggles/products/adapt-2-0,https://www.shopglade.com/pages/gladeucation-help-videos,"[""https://www.instagram.com/gladeoptics/"",""https://www.facebook.com/shopglade/"",""https://www.youtube.com/c/gladeopticstipsup/videos""]",pages_examined=5,100,80,94,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,3,https://rudyprojectna.myshopify.com/products/rydon-replacement-lenses?variant=47647148940,rudyprojectna.myshopify.com,https://www.rudyprojectna.com/products/rydon-replacement-lenses?variant=47647148940,https://www.rudyprojectna.com/products/rydon-replacement-lenses,rudyprojectna.com,Rydon Replacement Lenses,email@rudyprojectna.com,https://www.rudyprojectna.com/policies/privacy-policy,6824113,https://www.rudyprojectna.com/products/rydon-replacement-lenses?variant=47647148940,https://www.rudyprojectna.com/pages/customer-service,"[""https://www.instagram.com/rudyprojectna/"",""https://www.facebook.com/RudyProjectNA/"",""https://www.tiktok.com/@rudyprojectna""]",pages_examined=5,100,80,94,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,4,https://reks-glasses.myshopify.com/products/sling-blade-kontrast-photochromic-prescription-sunglasses,reks-glasses.myshopify.com,https://reks.com/products/sling-blade-kontrast-photochromic-prescription-sunglasses,https://reks.com/products/sling-blade-kontrast-photochromic-prescription-sunglasses,reks.com,Sling Blade Kontrast Photochromic Prescription Sunglasses,support@reks.com,https://reks.com/pages/contact-us,5614310153,https://reks.com/products/sling-blade-kontrast-photochromic-prescription-sunglasses,https://reks.com/pages/contact-us,"[""https://www.instagram.com/reksoptics/"",""https://www.facebook.com/REKS.Be.Unbreakable"",""https://www.facebook.com/REKS.Be.Unbreakable/"",""https://www.instagram.com/reksoptics""]",pages_examined=5; duplicate_results=1,100,80,94,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,5,https://powster.myshopify.com/products/tidal-tt-sport-sunglasses,powster.myshopify.com,https://powsterstudios.com/products/tidal-tt-sport-sunglasses,https://powsterstudios.com/products/tidal-tt-sport-sunglasses,powsterstudios.com,Home,info@powsterstudios.com,https://powsterstudios.com/pages/privacy-policy,,,,"[""https://www.facebook.com/powsterstudios/"",""https://www.instagram.com/powster_official/"",""https://www.youtube.com/@powster_official"",""https://www.tiktok.com/@powster_official""]",pages_examined=5; duplicate_results=1,100,100,89,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,6,https://johann-wolff.myshopify.com/products/bernau-light,johann-wolff.myshopify.com,https://johannwolff.com/products/bernau-light,https://johannwolff.com/products/bernau-light,johannwolff.com,Johann Wolff,info@johannwolff.com,https://johannwolff.com/products/bernau-light,3054577607,https://johannwolff.com/products/bernau-light,,[],pages_examined=5,100,80,88,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,7,https://specs-appeal-optical.myshopify.com/products/oliver-peoples-gregory-peck-crystal-indigo-photochromic-sunglasses,specs-appeal-optical.myshopify.com,https://specs-appeal-optical.myshopify.com/products/oliver-peoples-gregory-peck-crystal-indigo-photochromic-sunglasses,https://specs-appeal-optical.myshopify.com/products/oliver-peoples-gregory-peck-crystal-indigo-photochromic-sunglasses,specs-appeal-optical.myshopify.com,Specs Appeal Optical,,,,,,[],pages_examined=1,100,100,69,rejected,no_contact_information,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,8,https://pretavoir.myshopify.com/products/cartier-ct0425s-006-photochromic,pretavoir.myshopify.com,https://pretavoir.co.uk/products/cartier-ct0425s-006-photochromic,https://pretavoir.co.uk/products/cartier-ct0425s-006-photochromic,pretavoir.co.uk,Cartier CT0425S 006 Photochromic,hello@pretavoir.co.uk,https://pretavoir.co.uk/products/cartier-ct0425s-006-photochromic,01415525065,https://pretavoir.co.uk/products/cartier-ct0425s-006-photochromic,https://pretavoir.co.uk/cdn/shopifycloud/storefront/assets/themes_support/option_selection-b017cd28.js,"[""https://www.facebook.com/pretavoir.co.uk"",""https://instagram.com/pretavoir.co.uk"",""https://twitter.com/pretavoir"",""https://www.youtube.com/channel/UCxIg1hmilw0CDFqIj2yKQQg"",""https://www.linkedin.com/company/pretavoir"",""https://www.facebook.com/sharer.php"",""https://twitter.com/intent/tweet"",""https://pinterest.com/pin/create/button/"",""https://www.facebook.com/settings/""]",pages_examined=5; duplicate_results=1,100,100,100,qualified,,
eyewear,site:myshopify.com/products photochromic sunglasses,100,Combines a concrete product with an established adaptive-lens term.,site:myshopify.com/products photochromic sunglasses,9,https://gilassesstore.myshopify.com/products/kingseven-new-photochromic-sunglasses-men-polarized,gilassesstore.myshopify.com,https://gilassesstore.myshopify.com/products/kingseven-new-photochromic-sunglasses-men-polarized,https://gilassesstore.myshopify.com/products/kingseven-new-photochromic-sunglasses-men-polarized,gilassesstore.myshopify.com,gilassesstore,himalayalarr@gmail.com,https://gilassesstore.myshopify.com/pages/privacy-policy,,,,"[""https://www.facebook.com/sharer.php"",""https://twitter.com/share"",""https://pinterest.com/pin/create/button/""]",pages_examined=2,100,100,83,qualified,,
